index,threshold,value,highlight_ratio
roc_auc,,0.5991424545083514,preds_labels_2_std
average_precision,,0.0605077027345428,preds_labels_2_std
accuracy_top5,0.043305691331624006,0.09473684210526316,preds_labels_2_std
f1_top5,0.043305691331624006,0.17307692307692307,preds_labels_2_std
kappa_top5,0.043305691331624006,0.0,preds_labels_2_std
precision_top5,0.043305691331624006,0.09473684210526316,preds_labels_2_std
recall_top5,0.043305691331624006,1.0,preds_labels_2_std
roc_auc_top5,,0.6046511627906976,preds_labels_2_std
average_precision_top5,,0.1497040597276972,preds_labels_2_std
f1,1.460426624078081e-08,0.45161827107080454,preds_labels_30_perc
accuracy,0.9999998807907101,0.7090526315789474,preds_labels_30_perc
precision,0.9999976158142091,0.461038961038961,preds_labels_30_perc
recall,5.898932453618501e-10,1.0,preds_labels_30_perc
kappa,0.9746440052986141,0.06761053673897388,preds_labels_30_perc
roc_auc,,0.5254706921440766,preds_labels_30_perc
average_precision,,0.3228029813507582,preds_labels_30_perc
accuracy_top5,0.9982423782348631,0.5263157894736842,preds_labels_30_perc
f1_top5,0.9982423782348631,0.6896551724137931,preds_labels_30_perc
kappa_top5,0.9982423782348631,0.0,preds_labels_30_perc
precision_top5,0.9982423782348631,0.5263157894736842,preds_labels_30_perc
recall_top5,0.9982423782348631,1.0,preds_labels_30_perc
roc_auc_top5,,0.6579999999999999,preds_labels_30_perc
average_precision_top5,,0.6582777885191349,preds_labels_30_perc
f1,0.08221904188394501,0.16982214572576018,preds_labels_3_perc_1k_epochs
accuracy,0.9999535083770751,0.9390526315789474,preds_labels_3_perc_1k_epochs
precision,0.9999952316284181,1.0,preds_labels_3_perc_1k_epochs
recall,4.052827762279776e-07,1.0,preds_labels_3_perc_1k_epochs
kappa,0.9419540762901301,0.1317956100480403,preds_labels_3_perc_1k_epochs
roc_auc,,0.5902809640662747,preds_labels_3_perc_1k_epochs
average_precision,,0.14008871712298443,preds_labels_3_perc_1k_epochs
accuracy_top5,0.23811747133731803,0.29473684210526313,preds_labels_3_perc_1k_epochs
f1_top5,0.23811747133731803,0.45528455284552843,preds_labels_3_perc_1k_epochs
kappa_top5,0.23811747133731803,0.0,preds_labels_3_perc_1k_epochs
precision_top5,0.23811747133731803,0.29473684210526313,preds_labels_3_perc_1k_epochs
recall_top5,0.23811747133731803,1.0,preds_labels_3_perc_1k_epochs
roc_auc_top5,,0.8022388059701494,preds_labels_3_perc_1k_epochs
average_precision_top5,,0.6879739959359585,preds_labels_3_perc_1k_epochs
f1,0.07050983607769,0.12516715699384862,preds_labels_3_perc_20_epochs
accuracy,0.07578493654727901,0.9377894736842105,preds_labels_3_perc_20_epochs
precision,0.07131309807300501,0.0800596718050721,preds_labels_3_perc_20_epochs
recall,0.066017135977745,1.0,preds_labels_3_perc_20_epochs
kappa,0.07131309807300501,0.030712931110128183,preds_labels_3_perc_20_epochs
roc_auc,,0.5190192889345432,preds_labels_3_perc_20_epochs
average_precision,,0.06721173016412559,preds_labels_3_perc_20_epochs
accuracy_top5,0.06941446661949101,0.07368421052631578,preds_labels_3_perc_20_epochs
f1_top5,0.06941446661949101,0.13725490196078433,preds_labels_3_perc_20_epochs
kappa_top5,0.06941446661949101,0.0,preds_labels_3_perc_20_epochs
precision_top5,0.06941446661949101,0.07368421052631578,preds_labels_3_perc_20_epochs
recall_top5,0.06941446661949101,1.0,preds_labels_3_perc_20_epochs
roc_auc_top5,,0.3912337662337662,preds_labels_3_perc_20_epochs
average_precision_top5,,0.06638812416462186,preds_labels_3_perc_20_epochs
f1,0.13279753923416102,0.2096505823627288,preds_labels_comedy_10_perc
accuracy,0.64635556936264,0.9064444444444445,preds_labels_comedy_10_perc
precision,0.171219304203987,0.1793478260869565,preds_labels_comedy_10_perc
recall,0.002414357615634,1.0,preds_labels_comedy_10_perc
kappa,0.13279753923416102,0.10040150501249967,preds_labels_comedy_10_perc
roc_auc,,0.5829079131652661,preds_labels_comedy_10_perc
average_precision,,0.12692258838169207,preds_labels_comedy_10_perc
accuracy_top5,0.21691340208053503,0.3111111111111111,preds_labels_comedy_10_perc
f1_top5,0.21691340208053503,0.4745762711864407,preds_labels_comedy_10_perc
kappa_top5,0.21691340208053503,0.0,preds_labels_comedy_10_perc
precision_top5,0.21691340208053503,0.3111111111111111,preds_labels_comedy_10_perc
recall_top5,0.21691340208053503,1.0,preds_labels_comedy_10_perc
roc_auc_top5,,0.23271889400921664,preds_labels_comedy_10_perc
average_precision_top5,,0.2196058585627219,preds_labels_comedy_10_perc
f1,0.146241515874862,0.2857142857142857,preds_labels_comedy_15_perc
accuracy,0.27641189098358104,0.8593333333333333,preds_labels_comedy_15_perc
precision,0.300742238759994,0.75,preds_labels_comedy_15_perc
recall,0.057124357670545,1.0,preds_labels_comedy_15_perc
kappa,0.172281920909881,0.1360199017983711,preds_labels_comedy_15_perc
roc_auc,,0.6053353841765898,preds_labels_comedy_15_perc
average_precision,,0.20929935760817803,preds_labels_comedy_15_perc
accuracy_top5,0.21387480199337003,0.37777777777777777,preds_labels_comedy_15_perc
f1_top5,0.21387480199337003,0.5483870967741935,preds_labels_comedy_15_perc
kappa_top5,0.21387480199337003,0.0,preds_labels_comedy_15_perc
precision_top5,0.21387480199337003,0.37777777777777777,preds_labels_comedy_15_perc
recall_top5,0.21387480199337003,1.0,preds_labels_comedy_15_perc
roc_auc_top5,,0.49789915966386555,preds_labels_comedy_15_perc
average_precision_top5,,0.4606966745098764,preds_labels_comedy_15_perc
f1,0.097121000289916,0.20316622691292877,preds_labels_comedy_1_5_std
accuracy,0.29315069317817605,0.9297777777777778,preds_labels_comedy_1_5_std
precision,0.29315069317817605,0.4,preds_labels_comedy_1_5_std
recall,0.003393230494111,1.0,preds_labels_comedy_1_5_std
kappa,0.097121000289916,0.13215897008534727,preds_labels_comedy_1_5_std
roc_auc,,0.6069484743319868,preds_labels_comedy_1_5_std
average_precision,,0.12610822413576353,preds_labels_comedy_1_5_std
accuracy_top5,0.134993806481361,0.26666666666666666,preds_labels_comedy_1_5_std
f1_top5,0.134993806481361,0.42105263157894735,preds_labels_comedy_1_5_std
kappa_top5,0.134993806481361,0.0,preds_labels_comedy_1_5_std
precision_top5,0.134993806481361,0.26666666666666666,preds_labels_comedy_1_5_std
recall_top5,0.134993806481361,1.0,preds_labels_comedy_1_5_std
roc_auc_top5,,0.601010101010101,preds_labels_comedy_1_5_std
average_precision_top5,,0.34062085897418715,preds_labels_comedy_1_5_std
f1,0.166207730770111,0.23679727427597955,preds_labels_comedy_1_std
accuracy,0.5781587362289421,0.8835555555555555,preds_labels_comedy_1_std
precision,0.583578288555145,0.5151515151515151,preds_labels_comedy_1_std
recall,0.00102502584923,1.0,preds_labels_comedy_1_std
kappa,0.20972186326980502,0.13921980845596826,preds_labels_comedy_1_std
roc_auc,,0.5758677448337826,preds_labels_comedy_1_std
average_precision,,0.18482218642094206,preds_labels_comedy_1_std
accuracy_top5,0.30053454637527405,0.3111111111111111,preds_labels_comedy_1_std
f1_top5,0.30053454637527405,0.4745762711864407,preds_labels_comedy_1_std
kappa_top5,0.30053454637527405,0.0,preds_labels_comedy_1_std
precision_top5,0.30053454637527405,0.3111111111111111,preds_labels_comedy_1_std
recall_top5,0.30053454637527405,1.0,preds_labels_comedy_1_std
roc_auc_top5,,0.6290322580645161,preds_labels_comedy_1_std
average_precision_top5,,0.40198326970454795,preds_labels_comedy_1_std
f1,0.175980925559997,0.3241167434715822,preds_labels_comedy_20_perc
accuracy,0.9408681988716121,0.8104444444444444,preds_labels_comedy_20_perc
precision,0.9408681988716121,1.0,preds_labels_comedy_20_perc
recall,0.0028742235153910002,1.0,preds_labels_comedy_20_perc
kappa,0.259491771459579,0.1351428367884876,preds_labels_comedy_20_perc
roc_auc,,0.5752037157365293,preds_labels_comedy_20_perc
