index,threshold,value,highlight_ratio
f1_top5,0.30053454637527405,0.4745762711864407,preds_labels_comedy_1_std
kappa_top5,0.30053454637527405,0.0,preds_labels_comedy_1_std
precision_top5,0.30053454637527405,0.3111111111111111,preds_labels_comedy_1_std
recall_top5,0.30053454637527405,1.0,preds_labels_comedy_1_std
roc_auc_top5,,0.6290322580645161,preds_labels_comedy_1_std
average_precision_top5,,0.40198326970454795,preds_labels_comedy_1_std
f1,0.097121000289916,0.20316622691292877,preds_labels_comedy_1_5_std
accuracy,0.29315069317817605,0.9297777777777778,preds_labels_comedy_1_5_std
precision,0.29315069317817605,0.4,preds_labels_comedy_1_5_std
recall,0.003393230494111,1.0,preds_labels_comedy_1_5_std
kappa,0.097121000289916,0.13215897008534727,preds_labels_comedy_1_5_std
roc_auc,,0.6069484743319868,preds_labels_comedy_1_5_std
average_precision,,0.12610822413576353,preds_labels_comedy_1_5_std
accuracy_top5,0.134993806481361,0.26666666666666666,preds_labels_comedy_1_5_std
f1_top5,0.134993806481361,0.42105263157894735,preds_labels_comedy_1_5_std
kappa_top5,0.134993806481361,0.0,preds_labels_comedy_1_5_std
precision_top5,0.134993806481361,0.26666666666666666,preds_labels_comedy_1_5_std
recall_top5,0.134993806481361,1.0,preds_labels_comedy_1_5_std
roc_auc_top5,,0.601010101010101,preds_labels_comedy_1_5_std
average_precision_top5,,0.34062085897418715,preds_labels_comedy_1_5_std
f1,0.048132970929145,0.18482758620689654,preds_labels_comedy_2_std
accuracy,0.576462149620056,0.9431111111111111,preds_labels_comedy_2_std
precision,0.163474977016448,0.26666666666666666,preds_labels_comedy_2_std
recall,0.002914369339123,1.0,preds_labels_comedy_2_std
kappa,0.048665434122085,0.12048677461530721,preds_labels_comedy_2_std
roc_auc,,0.6006651423820412,preds_labels_comedy_2_std
average_precision,,0.0999118921523962,preds_labels_comedy_2_std
accuracy_top5,0.090113066136837,0.24444444444444444,preds_labels_comedy_2_std
f1_top5,0.090113066136837,0.39285714285714285,preds_labels_comedy_2_std
kappa_top5,0.090113066136837,0.0,preds_labels_comedy_2_std
precision_top5,0.090113066136837,0.24444444444444444,preds_labels_comedy_2_std
recall_top5,0.090113066136837,1.0,preds_labels_comedy_2_std
roc_auc_top5,,0.5053475935828877,preds_labels_comedy_2_std
average_precision_top5,,0.25270557335413213,preds_labels_comedy_2_std
f1,0.059869516640901004,0.1303370786516854,preds_labels_comedy_2_5_std
accuracy,0.13200271129608102,0.9633333333333334,preds_labels_comedy_2_5_std
precision,0.13200271129608102,0.5,preds_labels_comedy_2_5_std
recall,0.007818285375833001,1.0,preds_labels_comedy_2_5_std
kappa,0.07012945413589401,0.0927745976887353,preds_labels_comedy_2_5_std
roc_auc,,0.6565754430114291,preds_labels_comedy_2_5_std
average_precision,,0.07553627294401868,preds_labels_comedy_2_5_std
accuracy_top5,0.06470950692892001,0.1111111111111111,preds_labels_comedy_2_5_std
f1_top5,0.06470950692892001,0.2,preds_labels_comedy_2_5_std
kappa_top5,0.06470950692892001,0.0,preds_labels_comedy_2_5_std
precision_top5,0.06470950692892001,0.1111111111111111,preds_labels_comedy_2_5_std
recall_top5,0.06470950692892001,1.0,preds_labels_comedy_2_5_std
roc_auc_top5,,0.675,preds_labels_comedy_2_5_std
average_precision_top5,,0.24493506493506495,preds_labels_comedy_2_5_std
